ts,temp,hum,mp_cpu,cpu_total,cpu_core0,cpu_core1,mp_used_kb,mp_free_kb,mp_total_kb,idf_used_kb,idf_free_kb,idf_total_kb,temp_zscore_anomaly,temp_ewma_anomaly,temp_rulebased_anomaly,hum_zscore_anomaly,hum_ewma_anomaly,hum_rulebased_anomaly
2026-01-28 07:37:03,23.4,52.3,0.0,0.0,0.0,0.0,73,63,137,302,69,371,False,False,False,False,False,False
2026-01-28 07:37:05,20.4,58.4,29.1,20.8,6.2,29.1,64,73,137,302,69,371,False,False,False,False,False,False
2026-01-28 07:37:07,20.4,58.5,26.5,17.2,4.0,26.5,63,73,137,302,69,371,False,False,False,False,False,False
2026-01-28 08:00:30,20.4,58.4,0.0,0.0,0.0,0.0,75,63,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:32,21.9,57.1,27.0,19.6,6.1,27.0,67,71,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:34,21.9,57.0,26.6,17.3,4.0,26.6,66,71,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:36,21.9,57.0,26.6,17.7,4.4,26.6,66,72,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:38,21.9,57.0,26.5,17.1,3.9,26.5,65,73,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:40,21.9,56.9,26.7,17.2,3.8,26.7,64,73,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:42,21.9,56.9,26.4,17.5,4.3,26.4,63,74,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:44,21.9,56.8,26.3,16.9,3.8,26.3,63,75,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:46,21.9,56.7,26.5,18.1,4.9,26.5,62,75,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:48,21.9,56.8,26.4,17.2,4.0,26.4,61,76,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:50,21.9,56.7,27.0,17.6,4.1,27.0,61,77,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:52,21.9,56.7,26.2,17.0,3.9,26.2,60,78,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:54,21.9,56.8,26.2,17.0,3.9,26.2,59,78,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:56,21.9,56.7,26.3,17.4,4.3,26.3,59,79,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:00:58,21.9,56.7,26.3,17.3,4.2,26.3,58,80,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:00,21.9,56.7,26.6,17.3,4.0,26.6,57,80,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:02,21.9,56.7,26.6,18.2,4.9,26.6,56,81,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:04,21.9,56.7,26.4,17.3,4.1,26.4,56,82,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:06,21.9,56.8,26.5,17.5,4.2,26.5,55,83,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:08,21.9,56.7,26.9,17.4,4.0,26.9,54,83,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:10,21.9,56.7,26.2,17.3,4.3,26.2,94,43,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:12,21.9,56.7,27.4,17.6,3.9,27.4,76,61,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:14,21.9,56.6,27.3,17.6,3.9,27.3,75,62,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:16,21.9,56.7,27.3,18.4,4.8,27.3,75,63,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:18,21.9,56.7,27.3,17.8,4.1,27.3,74,64,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:20,21.9,56.7,26.9,17.6,4.1,26.9,72,65,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:22,21.9,56.7,27.0,17.6,4.1,27.0,72,66,138,301,70,371,False,False,False,False,False,False
2026-01-28 08:01:24,21.9,56.7,27.0,17.9,4.4,27.0,71,66,138,301,70,371,False,False,False,False,False,False
